asset_class	scientific_role	source_provider	content_scope	repository_action	review_status	license_scope	terms_or_evidence_url	approval_basis	review_date	notes
external_md_checkpoints	restart or checkpoint files	OIPS team; Schrödinger	Full restart and checkpoint artifacts	manifest_only	manifest_only	Inventory metadata only; no software or binary-format redistribution	https://www.schrodinger.com/eula/	Team publication authorization does not expand vendor redistribution rights	2026-07-17	Persistent archive not assigned
external_md_inputs	full MD inputs	OIPS team; Schrödinger	Full simulation inputs and setup artifacts	manifest_only	manifest_only	Inventory metadata only; no software or binary-format redistribution	https://www.schrodinger.com/eula/	Team publication authorization does not expand vendor redistribution rights	2026-07-17	Persistent archive not assigned
external_md_snapshots	representative MD snapshots	OIPS team; RCSB PDB; Schrödinger	Representative coordinate snapshots with solvent context	manifest_only	manifest_only	Inventory metadata only pending archive and structure-level review	https://www.rcsb.org/pages/usage-policy | https://www.schrodinger.com/eula/	Team publication authorization confirmed; archive deposit pending	2026-07-17	Persistent archive not assigned
external_md_trajectories	full MD trajectories	OIPS team; Schrödinger	Full production trajectories	manifest_only	manifest_only	Inventory metadata only; no licensed software components	https://www.schrodinger.com/eula/	Team publication authorization confirmed; archive deposit pending	2026-07-17	Persistent archive not assigned
external_raw_pocket_outputs	large raw pocket outputs	CASTpFold; ProteinsPlus; CavityPlus; Schrödinger	Raw service packages, downloads, logs, and licensed binary formats	manifest_only	manifest_only	Inventory metadata only; provider terms retained; no third-party relicensing	https://cfold.bme.uic.edu/castpfold/ | https://proteins.plus/help/dogsite3_rest | https://doi.org/10.1093/nar/gky380 | https://www.schrodinger.com/eula/	Only normalized factual fields are approved as local payload	2026-07-17	Raw package names and service identifiers are not released
licensed_software_artifacts	licensed software binaries and logs	Schrödinger	Software, binary formats, logs, license details, and benchmark disclosures	exclude	excluded	No repository redistribution	https://www.schrodinger.com/eula/	Explicit redistribution boundary	2026-07-17	Excluded from both local payload and public identifiers
team_curation_audit	curation audit metadata	OIPS team	Rights review and manual decision audit tables	commit_local_payload	approved_for_repository	Team-authored metadata under planned repository license	team authorization confirmed 2026-07-17	Explicit team approval in task thread	2026-07-17	No third-party content relicensed
team_external_inventory	external archive inventory	OIPS team	Stable inventory labels and availability status only	commit_local_payload	approved_for_repository	Team-authored metadata under planned repository license	team authorization confirmed 2026-07-17	Explicit team approval in task thread	2026-07-17	No internal paths or service identifiers
team_legacy_crosswalk	legacy cluster crosswalk	OIPS team	Legacy working-cluster to cluster-v2 mapping without old scores	commit_local_payload	approved_for_repository	Team-authored mapping under planned repository license	team authorization confirmed 2026-07-17	Explicit team approval in task thread	2026-07-17	Audit artifact only
team_md_summary	MD post-hoc summary	OIPS team; Schrödinger	Minimal derived MD contact and dynamic-score evidence	commit_local_payload	approved_for_repository	Team-derived scientific results; vendor terms retained; no software redistribution	https://www.schrodinger.com/eula/	Team publication and open-source authorization confirmed 2026-07-17	2026-07-17	Only public post-hoc fields are retained
team_normalized_features	normalized pocket features	OIPS team; CASTpFold; ProteinsPlus; CavityPlus; Schrödinger	Normalized centers, residues, ranks, and scalar pocket measurements	commit_local_payload	approved_for_repository	Normalized factual measurements only; provider terms retained; no third-party relicensing	https://cfold.bme.uic.edu/castpfold/ | https://proteins.plus/ | https://proteins.plus/help/dogsite3_rest | https://doi.org/10.1093/nar/gky380 | https://www.schrodinger.com/eula/	Team publication authorization confirmed; raw bundles and identifiers excluded	2026-07-17	Citations and provider boundaries remain applicable
team_redocking_summary	redocking post-hoc summary	OIPS team; Schrödinger	Minimal derived redocking score and RMSD evidence	commit_local_payload	approved_for_repository	Team-derived scientific results; vendor terms retained; no software or benchmark disclosure	https://www.schrodinger.com/eula/	Team publication and open-source authorization confirmed 2026-07-17	2026-07-17	Only selected scientific results are retained
team_reference_annotations	reference annotations	OIPS team	Reviewed ligand keys, status, and override linkage	commit_local_payload	approved_for_repository	Team-authored curation under planned repository license	team authorization confirmed 2026-07-17	Explicit team approval in task thread	2026-07-17	5LGE correction is decision-linked
team_release_documentation	release documentation	OIPS team	Public data readme and release boundary narrative	commit_local_payload	approved_for_repository	Team-authored narrative under planned repository license	team authorization confirmed 2026-07-17	Explicit team approval in task thread	2026-07-17	No third-party content relicensed
team_system_metadata	system metadata table	OIPS team	Approved system categories plus explicit metadata gaps	commit_local_payload	approved_for_repository	Team-authored curation under planned repository license	team authorization confirmed 2026-07-17	Explicit team approval in task thread	2026-07-17	Unknown values remain explicit
transformed_pdb_coordinates	prepared paired structure	RCSB PDB; OIPS team	Prepared paired coordinate structures derived from PDB entries	commit_local_payload	approved_for_repository	PDB archive data CC0 1.0; preparation recorded as a team transformation	https://www.rcsb.org/pages/usage-policy	Official RCSB policy plus team transformation authorization	2026-07-17	Attribute original structure authors and RCSB
