panel,record_id,series,group,x,y,x_label,y_label,lower,upper,annotation
a,QC_boundary_sensitive,QC_count,QC_boundary_sensitive,12,1,Static Top-3 candidates,QC state,,,
a,QC_insufficient_evidence,QC_count,QC_insufficient_evidence,1,4,Static Top-3 candidates,QC state,,,
a,QC_pass,QC_count,QC_pass,38,0,Static Top-3 candidates,QC state,,,
a,QC_possible_overmerge,QC_count,QC_possible_overmerge,1,3,Static Top-3 candidates,QC state,,,
a,QC_possible_split,QC_count,QC_possible_split,11,2,Static Top-3 candidates,QC state,,,
b,1A9M,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,1FAP,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,1HIH,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,1HSG,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,1SHL,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,1TCO,reference_rank,false,4,4,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,3DJI,reference_rank,false,3,3,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,4W9H,reference_rank,false,10,3,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,4W9H
b,5J89,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,5LGE,reference_rank,true,2,6,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,5LGE
b,5NIU,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,5TBM,reference_rank,true,2,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,6E3S,reference_rank,true,3,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,6E3S
b,6R3K,reference_rank,true,2,5,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,6R3K
b,6WKQ,reference_rank,false,6,6,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,7BEA,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,7JRA,reference_rank,false,2,3,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,7O2I,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,8EA7,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,8P1O,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
b,8SE5,reference_rank,false,1,1,Full-model first R_auto rank,Without-O_rel first R_auto rank,,,
c,1A9M,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,1FAP,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,1HIH,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,1HSG,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,1SHL,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,1TCO,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,3DJI,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,4W9H,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,5J89,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,5LGE,first_supported_rank,true,2,6,Full-model first-supported rank,Without-O_rel first-supported rank,,,5LGE
c,5NIU,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,5TBM,first_supported_rank,true,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,6E3S,first_supported_rank,true,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,6R3K,first_supported_rank,true,1,4,Full-model first-supported rank,Without-O_rel first-supported rank,,,6R3K
c,6WKQ,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,7BEA,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,7JRA,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,7O2I,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,8EA7,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,8P1O,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
c,8SE5,first_supported_rank,false,1,1,Full-model first-supported rank,Without-O_rel first-supported rank,,,
d,1A9M,rank_Spearman_rho,false,0.390909090909091,0,Spearman rho: full vs without O_rel,Target,,,
d,1FAP,rank_Spearman_rho,false,0.905263157894737,17,Spearman rho: full vs without O_rel,Target,,,
d,1HIH,rank_Spearman_rho,false,0.819298245614035,13,Spearman rho: full vs without O_rel,Target,,,
d,1HSG,rank_Spearman_rho,false,0.678947368421053,4,Spearman rho: full vs without O_rel,Target,,,
d,1SHL,rank_Spearman_rho,false,1,20,Spearman rho: full vs without O_rel,Target,,,
d,1TCO,rank_Spearman_rho,false,0.770517092434901,10,Spearman rho: full vs without O_rel,Target,,,
d,3DJI,rank_Spearman_rho,false,0.658271819366044,2,Spearman rho: full vs without O_rel,Target,,,
d,4W9H,rank_Spearman_rho,false,0.75489659700186,5,Spearman rho: full vs without O_rel,Target,,,
d,5J89,rank_Spearman_rho,false,0.867826086956522,15,Spearman rho: full vs without O_rel,Target,,,
d,5LGE,rank_Spearman_rho,true,0.757582745523603,7,Spearman rho: full vs without O_rel,Target,,,
d,5NIU,rank_Spearman_rho,false,0.766253551490876,9,Spearman rho: full vs without O_rel,Target,,,
d,5TBM,rank_Spearman_rho,true,0.821146245059289,14,Spearman rho: full vs without O_rel,Target,,,
d,6E3S,rank_Spearman_rho,true,0.761449864498645,8,Spearman rho: full vs without O_rel,Target,,,
d,6R3K,rank_Spearman_rho,true,0.898957099819982,16,Spearman rho: full vs without O_rel,Target,,,
d,6WKQ,rank_Spearman_rho,false,0.915384615384615,18,Spearman rho: full vs without O_rel,Target,,,
d,7BEA,rank_Spearman_rho,false,0.816176470588235,12,Spearman rho: full vs without O_rel,Target,,,
d,7JRA,rank_Spearman_rho,false,0.757556113767118,6,Spearman rho: full vs without O_rel,Target,,,
d,7O2I,rank_Spearman_rho,false,0.791000624494086,11,Spearman rho: full vs without O_rel,Target,,,
d,8EA7,rank_Spearman_rho,false,0.918181818181818,19,Spearman rho: full vs without O_rel,Target,,,
d,8P1O,rank_Spearman_rho,false,0.600490196078431,1,Spearman rho: full vs without O_rel,Target,,,
d,8SE5,rank_Spearman_rho,false,0.666086956521739,3,Spearman rho: full vs without O_rel,Target,,,
